token	lemma	pos	Gend
pugnatum	pugno	VER	Neut

nostri	nostri	PROpos	Masc
in	in	PRE	_
primo	primus	ADJord	MascNeut
congressu	congressus	NOM	_
circiter	circiter	ADV	_
70	70	ADJcar	_
ceciderunt	cado	VER	_
in	in	PRE	_
his	hic	PROdem	Com
Q	quintus	NOM	_
Fulginius	fulginius	NOM	_
ex	ex	PRE	_
primo	primus	ADJord	MascNeut
hastato	hastatus	NOM	_
legionis	legio	NOM	_
XIIII	quartus	ADJord	Fem
XIIII	decimus	ADJord	Fem
qui	qui	PROrel	Masc
propter	propter	PRE	_
eximiam	eximius	ADJqua	Fem
uirtutem	uirtus	NOM	_
ex	ex	PRE	_
inferioribus	inferus	ADJqua	Com
ordinibus	ordo	NOM	_
in	in	PRE	_
eum	is	PROdem	Masc
locum	locus	NOM	_
peruenerat	peruenio	VER	_
uulnerantur	uulnero	VER	_
amplius	ample	ADV	_
600	600	ADJcar	Masc

Curio	curio	NOM	_
summa	superus	ADJqua	Fem
omnium	omnis	PROind	Com
uoluntate	uoluntas	NOM	_
Iguium	iguium	NOM	_
recipit	recipio	VER	_

haec	hic	PROdem	Neut
cum	cum	CONsub	_
in	in	PRE	_
Achaia	achaia	NOM	_
atque	atque	CONcoo	_
apud	apud	PRE	_
Dyrrachium	dyrrachium	NOM	_
gererentur	gero	VER	_
Scipionem	scipio	NOM	_
-que	que	CONcoo	_
in	in	PRE	_
Macedoniam	macedonia	NOM	_
uenisse	uenio	VER	_
constaret	consto	VER	_
non	non	ADVneg	_
oblitus	obliuiscor	VER	Masc
pristini	pristinus	ADJqua	MascNeut
instituti	institutum	NOM	_
Caesar	caesar	NOM	_
mittit	mitto	VER	_
ad	ad	PRE	_
eum	is	PROdem	Masc
Clodium	clodius	NOM	_
suum	suus	PROpos.ref	MascNeut
atque	atque	CONcoo	_
illius	ille	PROdem	Com
familiarem	familiaris	NOM	_
quem	qui	PROrel	Masc
ab	ab	PRE	_
illo	ille	PROdem	MascNeut
traditum	trado	VER	MascNeut
initio	initium	NOM	_
et	et	CONcoo	_
commendatum	commendo	VER	MascNeut
in	in	PRE	_
suorum	suus	PROpos.ref	MascNeut
necessariorum	necessarius	NOM	_
numero	numerus	NOM	_
habere	habeo	VER	_
instituerat	instituo	VER	_

conatur	conor	VER	_
tamen	tamen	ADV	_
eos	is	PROdem	Masc
uallo	uallum	NOM	_
fossa	fossa	NOM	_
-que	que	CONcoo	_
circummunire	circummunio	VER	_
ut	ut	CONsub	_
quam	quam	ADVrel	_
maxime	magis	ADV	_
repentinas	repentinus	ADJqua	Fem
eorum	is	PROdem	MascNeut
eruptiones	eruptio	NOM	_
demoretur	demoror	VER	_
quo	quo	ADVrel	_
necessario	necessario	ADV	_
descensuros	descendo	VER	Masc
existimabat	existimo	VER	_

condiciones	condicio	NOM	_
pacis	pax	NOM	_
quoniam	quoniam	CONsub	_
antea	antea	ADV	_
conuenire	conuenio	VER	_
non	non	ADVneg	_
potuissent	possum	VER	_
Romae	roma	NOM	_
ab	ab	PRE	_
senatu	senatus	NOM	_
et	et	CONcoo	_
a	ab	PRE	_
populo	populus	NOM	_
peti	peto	VER	_
debere	debeo	VER	_

per	per	PRE	_
quos	qui	PROrel	Masc
re	res	NOM	_
cognita	cognosco	VER	Fem
Caesar	caesar	NOM	_
scalas	scalae	NOM	_
parari	paro	VER	_
milites	miles	NOM	_
-que	que	CONcoo	_
armari	armo	VER	_
iubet	iubeo	VER	_
ne	ne	CONsub	_
quam	quis	PROind	Fem
rei	res	NOM	_
gerendae	gero	VER	Fem
facultatem	facultas	NOM	_
dimittat	dimitto	VER	_

itaque	itaque	CONcoo	_
priusquam	priusquam	CONsub	_
telum	telum	NOM	_
adigi	adigo	VER	_
posset	possum	VER	_
aut	aut	CONcoo	_
nostri	nostri	PROpos	Masc
propius	prope	ADV	_
accederent	accedo	VER	_
omnis	omnis	PROind	MascFem
Vari	uarus	NOM	_
acies	acies	NOM	_
terga	tergum	NOM	_
uertit	uerto	VER	_
se	sui	PROref	_
-que	que	CONcoo	_
in	in	PRE	_
castra	castra	NOM	_
recepit	recipio	VER	_

cum	cum	PRE	_
his	hic	PROdem	Com
agit	ago	VER	_
ne	ne	CONsub	_
initium	initium	NOM	_
inferendi	infero	VER	MascNeut
belli	bellum	NOM	_
a	ab	PRE	_
Massiliensibus	massilienses	NOM	_
oriatur	orior	VER	_
debere	debeo	VER	_
eos	is	PROdem	Masc
Italiae	italia	NOM	_
totius	totus	PROind	Com
auctoritatem	auctoritas	NOM	_
sequi	sequor	VER	_
potius	potius	ADV	_
quam	quam	ADVrel	_
unius	unus	ADJcar	Com
hominis	homo	NOM	_
uoluntati	uoluntas	NOM	_
obtemperare	obtempero	VER	_

Caesar	caesar	NOM	_
cum	cum	CONsub	_
in	in	PRE	_
Asiam	asia	NOM	_
uenisset	uenio	VER	_
reperiebat	reperio	VER	_
T	titus	NOM	_
Ampium	ampius	NOM	_
conatum	conor	VER	MascNeut
pecunias	pecunia	NOM	_
tollere	tollo	VER	_
Epheso	ephesus	NOM	_
ex	ex	PRE	_
fano	fanum	NOM	_
Dianae	diana	NOM	_
eius	is	PROdem	Com
-que	que	CONcoo	_
rei	res	NOM	_
causa	causa	NOM	_
senatores	senator	NOM	_
omnes	omnis	PROind	MascFem
ex	ex	PRE	_
prouincia	prouincia	NOM	_
euocauisse	euoco	VER	_
ut	ut	CONsub	_
his	hic	PROdem	Com
testibus	testis	NOM	_
in	in	PRE	_
summam	summa	NOM	_
pecuniae	pecunia	NOM	_
uteretur	utor	VER	_
sed	sed	CONcoo	_
interpellatum	interpello	VER	MascNeut
aduentu	aduentus	NOM	_
Caesaris	caesar	NOM	_
profugisse	profugio	VER	_

dilectum	dilectus	NOM	_
habuit	habeo	VER	_
tota	totus	PROind	Fem
prouincia	prouincia	NOM	_
legionibus	legio	NOM	_
conpletis	compleo	VER	Com
duabus	duo	ADJcar	Fem
cohortes	cohors	NOM	_
circiter	circiter	ADV	_
30	30	ADJcar	_
alarias	alarius	ADJqua	Fem
addidit	addo	VER	_

Petreius	petreius	NOM	_
atque	atque	CONcoo	_
Afranius	afranius	NOM	_
cum	cum	CONsub	_
stipendium	stipendium	NOM	_
ab	ab	PRE	_
legionibus	legio	NOM	_
paene	paene	ADV	_
seditione	seditio	NOM	_
facta	facio	VER	Fem
flagitaretur	flagito	VER	_
cuius	qui	PROrel	Com
illi	ille	PROdem	Masc
diem	dies	NOM	_
nondum	nondum	ADVneg	_
uenisse	uenio	VER	_
dicerent	dico	VER	_
Caesar	caesar	NOM	_
ut	ut	CONsub	_
cognosceret	cognosco	VER	_
postulatum	postulo	VER	Neut
eo	is	PROdem	MascNeut
-que	que	CONcoo	_
utrique	uterque	PROind	Masc
quod	qui	PROrel	Neut
statuit	statuo	VER	_
contenti	contentus	ADJqua	Masc
fuerunt	sum	VER	_

Caesar	caesar	NOM	_
castris	castra	NOM	_
potitus	potior	VER	Masc
a	ab	PRE	_
militibus	miles	NOM	_
contendit	contendo	VER	_
ne	ne	CONsub	_
in	in	PRE	_
praeda	praeda	NOM	_
occupati	occupatus	ADJqua	Masc
reliqui	reliquus	ADJqua	MascNeut
negotii	negotium	NOM	_
gerendi	gero	VER	MascNeut
facultatem	facultas	NOM	_
dimitterent	dimitto	VER	_

principes	princeps	NOM	_
uero	uero	CONcoo	_
esse	sum	VER	_
earum	is	PROdem	Fem
partium	pars	NOM	_
Cn	gnaeus	NOM	_
Pompeium	pompeius	NOM	_
et	et	CONcoo	_
100	100	NOM	_
Caesarem	caesar	NOM	_
patronos	patronus	NOM	_
ciuitatis	ciuitas	NOM	_
quorum	qui	PROrel	MascNeut
alter	alter	PROind	Masc
agros	ager	NOM	_
Volcarum	uolcae	NOM	_
Arecomicorum	arecomici	NOM	_
et	et	CONcoo	_
Heluiorum	heluii	NOM	_
publice	publice	ADV	_
iis	is	PROdem	Com
concesserit	concedo	VER	_
alter	alter	PROind	Masc
bello	bellum	NOM	_
uictos	uinco	VER	Masc
Sallyas	sallues	NOM	_
adtribuerit	attribuo	VER	_
uectigalia	uectigal	NOM	_
-que	que	CONcoo	_
auxerit	augeo	VER	_

itaque	itaque	CONcoo	_
Caninium	caninius	NOM	_
Rebilum	rebilus	NOM	_
legatum	legatus	NOM	_
familiarem	familiaris	NOM	_
necessarium	necessarius	NOM	_
-que	que	CONcoo	_
Scriboni	scribonius	NOM	_
Libonis	libo	NOM	_
mittit	mitto	VER	_
ad	ad	PRE	_
eum	is	PROdem	Masc
conloquii	colloquium	NOM	_
causa	causa	NOM	_
mandat	mando	VER	_
ut	ut	CONsub	_
Libonem	libo	NOM	_
de	de	PRE	_
concilianda	concilio	VER	Fem
pace	pax	NOM	_
hortetur	hortor	VER	_
inprimis	imprimis	ADV	_
ut	ut	CONsub	_
ipse	ipse	PROdem	Masc
cum	cum	PRE	_
Pompeio	pompeius	NOM	_
conloqueretur	colloquor	VER	_
postulat	postulo	VER	_
magnoopere	magnopere	ADV	_
sese	sui	PROref	_
confidere	confido	VER	_
demonstrat	demonstro	VER	_
si	si	CONsub	_
eius	is	PROdem	Com
rei	res	NOM	_
potestas	potestas	NOM	_
facta	facio	VER	Fem
fore	sum	VER	_
ut	ut	CONsub	_
aequis	aequus	ADJqua	Com
condicionibus	condicio	NOM	_
ab	ab	PRE	_
armis	arma	NOM	_
discedatur	discedo	VER	_

has	hic	PROdem	Fem
cum	cum	CONsub	_
audacius	audaciter	ADV	_
progressas	progredior	VER	Fem
Libo	libo	NOM	_
uidisset	uideo	VER	_
sperans	spero	VER	Com
intercipi	intercipio	VER	_
posse	possum	VER	_
quadriremes	quadriremis	NOM	_
5	5	ADJcar	_
ad	ad	PRE	_
eas	is	PROdem	Fem
misit	mitto	VER	_

sed	sed	CONcoo	_
ut	ut	ADVrel	_
superioris	superus	ADJqua	Com
temporis	tempus	NOM	_
contentionem	contentio	NOM	_
nostri	nostri	PROpos	Masc
omnem	omnis	PROind	MascFem
remiserant	remitto	VER	_
ita	ita	ADV	_
proximi	propior	ADJqua	MascNeut
diei	dies	NOM	_
casu	casus	NOM	_
admoniti	admoneo	VER	Masc
omnia	omnis	PROind	Neut
ad	ad	PRE	_
defensionem	defensio	NOM	_
parauerant	paro	VER	_

princeps	princeps	ADJqua	Com
in	in	PRE	_
haec	hic	PROdem	Neut
uerba	uerbum	NOM	_
iurat	iuro	VER	_
ipse	ipse	PROdem	Masc
idem	idem	PROdem	Neut
iusiurandum	iusiurandum	NOM	_
adigit	adigo	VER	_
Afranium	afranius	NOM	_
subsequuntur	subsequor	VER	_
tribuni	tribunus	NOM	_
militum	miles	NOM	_
centuriones	centurio	NOM	_
-que	que	CONcoo	_
centuriatim	centuriatim	ADV	_
producti	produco	VER	Masc
milites	miles	NOM	_
idem	idem	PROdem	Neut
iurant	iuro	VER	_

itaque	itaque	CONcoo	_
exercitum	exercitus	NOM	_
ex	ex	PRE	_
castris	castra	NOM	_
eduxit	educo	VER	_
aciem	acies	NOM	_
-que	que	CONcoo	_
instruxit	instruo	VER	_
primum	primum	ADJadv.ord	_
suis	suus	PROpos.ref	Com
locis	locus	NOM	_
paulo	paulo	ADV	_
-que	que	CONcoo	_
a	ab	PRE	_
castris	castra	NOM	_
Pompei	pompeius	NOM	_
longius	longe	ADV	_
continentibus	continens	ADJqua	Com
uero	uero	CONcoo	_
diebus	dies	NOM	_
ut	ut	CONsub	_
progrederetur	progredior	VER	_
a	ab	PRE	_
castris	castra	NOM	_
suis	suus	PROpos.ref	Com
collibus	collis	NOM	_
-que	que	CONcoo	_
Pompeianis	pompeianus	ADJqua	Com
aciem	acies	NOM	_
subiceret	subicio	VER	_

nam	nam	CONcoo	_
praeteruectas	praeteruehor	VER	Fem
Apolloniam	apollonia	NOM	_
Dyrrachium	dyrrachium	NOM	_
-que	que	CONcoo	_
naues	nauis	NOM	_
uiderant	uideo	VER	_
ipsi	ipse	PROdem	Masc
ut	ut	ADVrel	_
iter	iter	NOM	_
secundum	secundum	PRE	_
eas	is	PROdem	Fem
terras	terra	NOM	_
direxerant	dirigo	VER	_
sed	sed	CONcoo	_
quo	quo	ADVint	_
eae	is	PROdem	Fem
delatae	defero	VER	Fem
primis	primus	ADJord	Com
diebus	dies	NOM	_
ignorabant	ignoro	VER	_

at	at	CONcoo	_
illi	ille	PROdem	Masc
itinere	iter	NOM	_
totius	totus	PROind	Com
noctis	nox	NOM	_
confecti	conficio	VER	Masc
subsequi	subsequor	VER	_
non	non	ADVneg	_
poterant	possum	VER	_
atque	atque	CONcoo	_
alii	alius	PROind	Masc
alio	alius	PROind	MascNeut
loco	locus	NOM	_
resistebant	resisto	VER	_

totius	totus	PROind	Com
autem	autem	CONcoo	_
rei	res	NOM	_
consilium	consilium	NOM	_
his	hic	PROdem	Com
rationibus	ratio	NOM	_
explicabat	explico	VER	_
ut	ut	CONsub	_
si	si	CONsub	_
Pompeius	pompeius	NOM	_
eodem	eodem	ADV	_
contenderet	contendo	VER	_
abductum	abduco	VER	MascNeut
illum	ille	PROdem	Masc
a	ab	PRE	_
mari	mare	NOM	_
atque	atque	CONcoo	_
ab	ab	PRE	_
iis	is	PROdem	Com
copiis	copia	NOM	_
quas	qui	PROrel	Fem
Dyrrachii	dyrrachium	NOM	_
comparauerat	comparo	VER	_
abstractum	abstraho	VER	MascNeut
pari	par	ADJqua	Com
condicione	condicio	NOM	_
belli	bellum	NOM	_
se	sui	PROref	_
-cum	cum	PRE	_
decertare	decerto	VER	_
cogeret	cogo	VER	_
si	si	CONsub	_
in	in	PRE	_
Italiam	italia	NOM	_
transiret	transeo	VER	_
coniuncto	coniungo	VER	MascNeut
exercitu	exercitus	NOM	_
cum	cum	PRE	_
Domitio	domitius	NOM	_
per	per	PRE	_
Illyricum	illyricum	NOM	_
Italiae	italia	NOM	_
subsidio	subsidium	NOM	_
proficisceretur	proficiscor	VER	_
si	si	CONsub	_
Apolloniam	apollonia	NOM	_
Oricum	oricum	NOM	_
-que	que	CONcoo	_
obpugnare	oppugno	VER	_
et	et	CONcoo	_
se	sui	PROref	_
omni	omnis	PROind	Com
maritima	maritimus	ADJqua	Fem
ora	ora	NOM	_
excludere	excludo	VER	_
conaretur	conor	VER	_
obsesso	obsideo	VER	MascNeut
Scipione	scipio	NOM	_
necessario	necessario	ADV	_
illum	ille	PROdem	Masc
suis	sui	PROpos.ref	Com
auxilium	auxilium	NOM	_
ferre	fero	VER	_
cogeret	cogo	VER	_

hoc	hic	PROdem	MascNeut
inito	ineo	VER	MascNeut
consilio	consilium	NOM	_
denuntiauisse	denuntio	VER	_
Gallonio	gallonius	NOM	_
ut	ut	CONsub	_
sua	suus	PROpos.ref	Fem
sponte	spons	NOM	_
dum	dum	CONsub	_
sine	sine	PRE	_
periculo	periculum	NOM	_
liceret	licet	VER	_
excederet	excedo	VER	_
Gadibus	gades	NOM	_
si	si	CONsub	_
id	is	PROdem	Neut
non	non	ADVneg	_
se	sui	PROref	_
fecisset	facio	VER	_
sibi	sui	PROref	_
consilium	consilium	NOM	_
capturos	capio	VER	Masc

Pompeius	pompeius	NOM	_
quoque	quoque	ADV	_
ut	ut	ADVrel	_
postea	postea	ADV	_
cognitum	cognosco	VER	Neut
suorum	sui	PROpos.ref	MascNeut
omnium	omnis	PROind	Com
hortatu	hortatus	NOM	_
statuerat	statuo	VER	_
proelio	proelium	NOM	_
decertare	decerto	VER	_

reliquos	reliqui	NOM	_
enim	enim	CONcoo	_
omnis	omnis	PROind	MascFem
officium	officium	NOM	_
suum	suus	PROpos.ref	MascNeut
praestitisse	praesto	VER	_
se	sui	PROref	_
qui	qui	PROrel	Masc
etiam	etiam	ADV	_
bona	bonus	ADJqua	Fem
condicione	condicio	NOM	_
et	et	CONcoo	_
loco	locus	NOM	_
et	et	CONcoo	_
tempore	tempus	NOM	_
aequo	aequus	ADJqua	MascNeut
confligere	confligo	VER	_
noluerit	nolo	VER	_
ut	ut	CONsub	_
quam	quam	ADVrel	_
integerrima	integer	ADJqua	Neut
essent	sum	VER	_
ad	ad	PRE	_
pacem	pax	NOM	_
omnia	omnis	PROind	Neut
exercitum	exercitus	NOM	_
suum	suus	PROpos.ref	MascNeut
qui	qui	PROrel	Masc
iniuria	iniuria	NOM	_
etiam	etiam	ADV	_
accepta	accipio	VER	Fem
suis	sui	PROpos.ref	Com
-que	que	CONcoo	_
interfectis	interficio	VER	Com
quos	qui	PROrel	Masc
in	in	PRE	_
sua	suus	PROpos.ref	Fem
potestate	potestas	NOM	_
habuerit	habeo	VER	_
conseruarit	conseruo	VER	_
et	et	CONcoo	_
texerit	tego	VER	_
illius	ille	PROdem	Com
denique	denique	ADV	_
exercitus	exercitus	NOM	_
milites	miles	NOM	_
qui	qui	PROrel	Masc
per	per	PRE	_
se	sui	PROref	_
de	de	PRE	_
concilianda	concilio	VER	Fem
pace	pax	NOM	_
egerint	ago	VER	_
qua	qui	PROrel	Fem
in	in	PRE	_
re	res	NOM	_
omnium	omnis	PROind	Com
suorum	sui	PROpos.ref	MascNeut
uitae	uita	NOM	_
consulendum	consulo	VER	MascNeut
putarint	puto	VER	_

namque	namque	CONcoo	_
etiam	etiam	ADV	_
in	in	PRE	_
consilio	consilium	NOM	_
superioribus	superus	ADJqua	Com
diebus	dies	NOM	_
dixerat	dico	VER	_
priusquam	priusquam	CONsub	_
concurrerent	concurro	VER	_
acies	acies	NOM	_
fore	sum	VER	_
uti	ut	CONsub	_
exercitus	exercitus	NOM	_
Caesaris	caesar	NOM	_
pelleretur	pello	VER	_

nam	nam	CONcoo	_
ut	ut	CONsub	_
ad	ad	PRE	_
mare	mare	NOM	_
nostrae	noster	PROpos	Fem
cohortes	cohors	NOM	_
excubuerant	excubo	VER	_
accessere	accedo	VER	_
subito	subito	ADV	_
prima	primus	ADJord	Fem
luce	lux	NOM	_
Pompeiani	pomeiani	NOM	_

mittitur	mitto	VER	_
50	50	NOM	_
Decidius	decidius	NOM	_
Saxa	saxa	NOM	_
cum	cum	PRE	_
paucis	pauci	NOM	_
qui	qui	PROrel	Masc
loci	locus	NOM	_
naturam	natura	NOM	_
perspiciat	perspicio	VER	_

reliquas	reliquus	ADJqua	Fem
legiones	legio	NOM	_
quae	qui	PROrel	Fem
longius	longe	ADV	_
hiemabant	hiemo	VER	_
subsequi	subsequor	VER	_
iubet	iubeo	VER	_

sic	sic	ADV	_
terror	terror	NOM	_
oblatus	offero	VER	Masc
a	ab	PRE	_
ducibus	dux	NOM	_
crudelitas	crudelitas	NOM	_
in	in	PRE	_
supplicio	supplicium	NOM	_
noua	nouus	ADJqua	Fem
religio	religio	NOM	_
iurisiurandi	iusiurandum	NOM	_
spem	spes	NOM	_
praesentis	praesens	ADJqua	Com
deditionis	deditio	NOM	_
sustulit	tollo	VER	_
mentes	mens	NOM	_
-que	que	CONcoo	_
militum	miles	NOM	_
conuertit	conuerto	VER	_
et	et	CONcoo	_
rem	res	NOM	_
ad	ad	PRE	_
pristinam	pristinus	ADJqua	Fem
belli	bellum	NOM	_
rationem	ratio	NOM	_
redegit	redigo	VER	_

his	hic	PROdem	Com
rebus	res	NOM	_
confectis	conficio	VER	Com
cum	cum	CONsub	_
fides	fides	NOM	_
tota	totus	PROind	Fem
Italia	italia	NOM	_
esset	sum	VER	_
angustior	angustus	ADJqua	MascFem
neque	neque	CONcoo	_
creditae	credo	VER	Fem
pecuniae	pecunia	NOM	_
soluerentur	soluo	VER	_
constituit	constituo	VER	_
ut	ut	CONsub	_
arbitri	arbiter	NOM	_
darentur	do	VER	_
per	per	PRE	_
eos	is	PROdem	Masc
fierent	fio	VER	_
aestimationes	aestimatio	NOM	_
possessionum	possessio	NOM	_
et	et	CONcoo	_
rerum	res	NOM	_
quanti	quantum	PROint	MascNeut
quaeque	quisque	PROind	Fem
earum	is	PROdem	Fem
ante	ante	PRE	_
bellum	bellum	NOM	_
fuisset	sum	VER	_
atque	atque	CONcoo	_
eae	is	PROdem	Fem
creditoribus	creditor	NOM	_
traderentur	trado	VER	_

quam	qui	PROrel	Fem
primo	primo	ADJadv.ord	_
ad	ad	PRE	_
repentinos	repentinus	ADJqua	Masc
incursus	incursus	NOM	_
humilem	humilis	ADJqua	MascFem
paruam	paruus	ADJqua	Fem
-que	que	CONcoo	_
fecerunt	facio	VER	_

Caesar	caesar	NOM	_
etsi	etsi	CONsub	_
multis	multus	ADJqua	Com
necessariis	necessarius	ADJqua	Com
-que	que	CONcoo	_
rebus	res	NOM	_
in	in	PRE	_
Italiam	italia	NOM	_
reuocabatur	reuoco	VER	_
tamen	tamen	ADV	_
constituerat	constituo	VER	_
nullam	nullus	PROind	Fem
partem	pars	NOM	_
belli	bellum	NOM	_
in	in	PRE	_
Hispaniis	hispania	NOM	_
relinquere	relinquo	VER	_
quod	quod	CONsub	_
magna	magnus	ADJqua	Neut
esse	sum	VER	_
Pompei	pompeius	NOM	_
beneficia	beneficium	NOM	_
et	et	CONcoo	_
magnas	magnus	ADJqua	Fem
clientelas	clientela	NOM	_
in	in	PRE	_
citeriore	citerior	ADJqua	Com
prouincia	prouincia	NOM	_
sciebat	scio	VER	_

Cn	gnaeus	NOM	_
Domitium	domitius	NOM	_
Caluinum	caluinus	NOM	_
cum	cum	PRE	_
legionibus	legio	NOM	_
duabus	duo	ADJcar	Fem
11	11	ADJord	Fem
et	et	CONcoo	_
12	12	ADJord	Fem
et	et	CONcoo	_
equitibus	eques	NOM	_
500	500	ADJcar	Com
in	in	PRE	_
Macedoniam	macedonia	NOM	_
proficisci	proficiscor	VER	_
iussit	iubeo	VER	_
cuius	qui	PROrel	Com
prouinciae	prouincia	NOM	_
ab	ab	PRE	_
ea	is	PROdem	Fem
parte	pars	NOM	_
quae	qui	PROrel	Fem
libera	liber	ADJqua	Fem
appellabatur	appello	VER	_
Menedemus	menedemus	NOM	_
princeps	princeps	NOM	_
earum	is	PROdem	Fem
regionum	regio	NOM	_
missus	mitto	VER	Masc
legatus	legatus	NOM	_
omnium	omnis	PROind	Com
suorum	sui	PROpos.ref	MascNeut
excellens	excellens	ADJqua	Neut
studium	studium	NOM	_
profitebatur	profiteor	VER	_

interesse	intersum	VER	_
id	is	PROdem	Neut
reipublicae	respublica	NOM	_
et	et	CONcoo	_
ipsis	ipse	PROdem	Com
placere	placeo	VER	_
oportere	oportet	VER	_
si	si	CONsub	_
uterque	uterque	PROind	Masc
in	in	PRE	_
contione	contio	NOM	_
statim	statim	ADV	_
iurauisset	iuro	VER	_
se	sui	PROref	_
triduo	triduum	NOM	_
proximo	propior	ADJqua	MascNeut
exercitum	exercitus	NOM	_
dimissurum	dimitto	VER	MascNeut

in	in	PRE	_
hac	hic	PROdem	Fem
sunt	sum	VER	_
insula	insula	NOM	_
domicilia	domicilium	NOM	_
Aegyptiorum	aegyptii	NOM	_
et	et	CONcoo	_
uicus	uicus	NOM	_
oppidi	oppidum	NOM	_
magnitudine	magnitudo	NOM	_
quaeque	quisque	PROrel	Fem
ubique	ubique	ADV	_
naues	nauis	NOM	_
imprudentia	imprudentia	NOM	_
aut	aut	CONcoo	_
tempestate	tempestas	NOM	_
paulum	paulum	ADV	_
suo	suus	PROpos.ref	MascNeut
cursu	cursus	NOM	_
decesserunt	decedo	VER	_
has	hic	PROdem	Fem
more	mos	NOM	_
praedonum	praedo	NOM	_
diripere	diripio	VER	_
consuerunt	consuesco	VER	_

milites	miles	NOM	_
ad	ad	PRE	_
unum	unus	ADJcar	MascNeut
omnes	omnis	PROind	MascFem
interficiuntur	interficio	VER	_

uenitur	uenio	VER	_
in	in	PRE	_
eum	is	PROdem	Masc
locum	locus	NOM	_
quem	qui	PROrel	Masc
Caesar	caesar	NOM	_
delegit	deligo	VER	_

itaque	itaque	CONcoo	_
cum	cum	CONsub	_
omnibus	omnis	PROind	Com
rebus	res	NOM	_
nostri	nostri	PROpos	Masc
premerentur	premo	VER	_
atque	atque	CONcoo	_
aegre	aegre	ADV	_
resisterent	resisto	VER	_
animaduersum	animaduerto	VER	Neut
uitium	uitium	NOM	_
munitionis	munitio	NOM	_
quod	qui	PROrel	Neut
supra	supra	ADV	_
demonstratum	demonstro	VER	Neut
atque	atque	CONcoo	_
inter	inter	PRE	_
duos	duo	ADJcar	Masc
uallos	uallus	NOM	_
qua	qua	ADVrel	_
perfectum	perficio	VER	Neut
opus	opus	NOM	_
non	non	ADVneg	_
erat	sum	VER	_
per	per	PRE	_
mare	mare	NOM	_
nauibus	nauis	NOM	_
expositi	expono	VER	Masc
in	in	PRE	_
auersos	auersus	ADJqua	Masc
nostros	nostri	PROpos	Masc
impetum	impetus	NOM	_
fecerunt	facio	VER	_
atque	atque	CONcoo	_
ex	ex	PRE	_
utraque	uterque	PROind	Fem
munitione	munitio	NOM	_
deiectos	deicio	VER	Masc
terga	tergum	NOM	_
uertere	uerto	VER	_
coegerunt	cogo	VER	_

reducitur	reduco	VER	_
ad	ad	PRE	_
eum	is	PROdem	Masc
deprensus	deprehendo	VER	Masc
ex	ex	PRE	_
itinere	iter	NOM	_
N	numerius	NOM	_
Magius	magius	NOM	_
Cremona	cremona	NOM	_
praefectus	praefectus	NOM	_
fabrum	faber	NOM	_
Cn	gnaeus	NOM	_
Pompei	pompeius	NOM	_

in	in	PRE	_
Sicori	sicoris	NOM	_
flumine	flumen	NOM	_
pontes	pons	NOM	_
effecerat	efficio	VER	_
duos	duo	ADJcar	Masc
distantes	disto	VER	MascFem
inter	inter	PRE	_
se	sui	PROref	_
milia	mille	ADJcar	Neut
passum	passus	NOM	_
IIII	quatuor	ADJcar	_

discessu	discessus	NOM	_
Liburnarum	liburnus	ADJqua	Fem
ex	ex	PRE	_
Illyrico	illyricum	NOM	_
1000	1000	NOM	_
Octauius	octauius	NOM	_
cum	cum	PRE	_
iis	is	PROdem	Com
quas	qui	PROrel	Fem
habebat	habeo	VER	_
nauibus	nauis	NOM	_
Salonas	salonae	NOM	_
peruenit	peruenio	VER	_

sic	sic	ADV	_
cotidie	cotidie	ADV	_
utrimque	utrimque	ADV	_
eminus	eminus	ADV	_
fundis	funda	NOM	_
sagittis	sagitta	NOM	_
reliquis	reliquus	ADJqua	Com
-que	que	CONcoo	_
telis	telum	NOM	_
pugnabatur	pugno	VER	_

quos	qui	PROrel	Masc
ubi	ubi	CONsub	_
Afranius	afranius	NOM	_
procul	procul	ADV	_
uisos	uiso	VER	Masc
cum	cum	PRE	_
Petreio	petreius	NOM	_
conspexit	conspicio	VER	_
noua	nouus	ADJqua	Fem
re	res	NOM	_
perterritus	perterreo	VER	Masc
locis	locus	NOM	_
superioribus	superus	ADJqua	Com
consistit	consisto	VER	_
aciem	acies	NOM	_
-que	que	CONcoo	_
instruit	instruo	VER	_

patebat	pateo	VER	_
haec	hic	PROdem	Fem
quoquouersus	quoquouersus	ADV	_
pedes	pes	NOM	_
30	30	ADJcar	_
sed	sed	CONcoo	_
parietum	paries	NOM	_
crassitudo	crassitudo	NOM	_
pedes	pes	NOM	_
5	5	ADJcar	_

post	post	ADV	_
mutato	muto	VER	MascNeut
consilio	consilium	NOM	_
quibusdam	quidam	PROind	Com
de	de	PRE	_
causis	causa	NOM	_
Caesar	caesar	NOM	_
paulo	paulo	ADV	_
ultra	ultra	PRE	_
eum	is	PROdem	Masc
locum	locus	NOM	_
castra	castra	NOM	_
transtulit	transfero	VER	_
paucis	paucus	ADJqua	Com
-que	que	CONcoo	_
intermissis	intermitto	VER	Com
diebus	dies	NOM	_
eadem	idem	PROdem	Neut
haec	hic	PROdem	Neut
Pompeius	pompeius	NOM	_
occupauerat	occupo	VER	_
et	et	CONcoo	_
quod	quod	CONsub	_
eo	is	PROdem	MascNeut
loco	locus	NOM	_
